Nom_commune;Code_postal
ST SYMPHORIEN DE LAY;42470
FAYE;41100
FRETEVAL;41160
GIEVRES;41130
HOUSSAY;41800
HUISSEAU EN BEAUCE;41310
HUISSEAU SUR COSSON;41350
LISLE;41100
LORGES;41370
MARCILLY EN GAULT;41210
MAREUIL SUR CHER;41110
MAROLLES;41330
VALENCISSE;41190
MONTHOU SUR CHER;41400
LES MONTILS;41120
MONT PRES CHAMBORD;41250
MONTRIEUX EN SOLOGNE;41210
MOREE;41160
MUIDES SUR LOIRE;41500
MULSANS;41500
PIERREFITTE SUR SAULDRE;41300
LE PLESSIS L ECHELLE;41370
LE POISLAY;41270
ROCHES;41370
ROMILLY;41270
ST DYE SUR LOIRE;41500
ST FIRMIN DES PRES;41100
STE GEMMES;41290
ST JACQUES DES GUERETS;41800
ST JULIEN SUR CHER;41320
ST LAURENT NOUAN;41220
ST LEONARD EN BEAUCE;41370
ST OUEN;41100
ST SULPICE DE POMMERAY;41000
SEUR;41120
TERNAY;41800
LA VILLE AUX CLERCS;41160
VILLETRUN;41100
YVOY LE MARRON;41600
AMBIERLE;42820
ANDREZIEUX BOUTHEON;42160
APINAC;42550
LE BESSAT;42660
BOISSET LES MONTROND;42210
CERVIERES;42440
CHANDON;42190
ERCOURT;80210
ESSERTAUX;80160
ETERPIGNY;80200
ETRICOURT MANANCOURT;80360
LA FALOISE;80250
FAVEROLLES;80500
FESCAMPS;80500
FEUQUIERES EN VIMEU;80210
FLIXECOURT;80420
FLUY;80540
FONTAINE SUR MAYE;80150
FORT MAHON PLAGE;80120
FOURDRINOY;80310
FROHEN SUR AUTHIE;80370
GAMACHES;80220
GAUVILLE;80290
GLISY;80440
GREBAULT MESNIL;80140
GRIVESNES;80250
GROUCHES LUCHUEL;80600
GUIZANCOURT;80290
GUYENCOURT SAULCOURT;80240
HALLENCOURT;80490
HAM;80400
HARBONNIERES;80131
HARPONVILLE;80560
HATTENCOURT;80700
HEDAUVILLE;80560
HESCAMPS;80290
HIERMONT;80370
HUMBERCOURT;80600
HUPPY;80140
IRLES;80300
LABOISSIERE EN SANTERRE;80500
LIGESCOURT;80150
LIGNIERES EN VIMEU;80140
LIHONS;80320
LIOMER;80430
LOEUILLY;80160
LONGUEAU;80330
MAISON PONTHIEU;80150
MAISON ROLAND;80135
MAIZICOURT;80370
MARLERS;80290
MERICOURT SUR SOMME;80340
MESNIL MARTINSART;80300
MESNIL ST NICAISE;80190
MEZIERES EN SANTERRE;80110
MILLENCOURT EN PONTHIEU;80135
MIRAUMONT;80300
MISERY;80320
MONTAUBAN DE PICARDIE;80300
MONTDIDIER;80500
MONTIGNY SUR L HALLUE;80260
MONTONVILLERS;80260
FIEFFES MONTRELET;80670
MORVILLERS ST SATURNIN;80290
MOUFLERS;80690
NAOURS;80260
NESLETTE;80140
NEUILLY LE DIEN;80150
NEUILLY L HOPITAL;80132
NEUVILLETTE;80600
NOUVION;80860
NOYELLES SUR MER;80860
NURLU;80240
OFFIGNIES;80290
ORESMAUX;80160
OUST MAREST;80460
PLACHY BUYON;80160
POIX DE PICARDIE;80290
POULAINVILLE;80260
PROUVILLE;80370
PROUZEL;80160
PYS;80300
QUIRY LE SEC;80250
REMAUGIES;80500
ROIGLISE;80700
RONSSOY;80740
ROUY LE GRAND;80190
SAILLY FLIBEAUCOURT;80970
SAILLY SAILLISEL;80360
ST MAULVIS;80140
ST RIQUIER;80135
ST SAUFLIEU;80160
SAISSEVAL;80540
SAULCHOY SOUS POIX;80290
SAVEUSE;80470
SENARPONT;80140
SEUX;80540
SOREL EN VIMEU;80490
SOUES;80310
SUZANNE;80340
TEMPLEUX LE GUERARD;80240
TINCOURT BOUCLY;80240
LE TITRE;80132
VAUVILLERS;80131
VILLEROY;80140
VILLERS SOUS AILLY;80690
VILLERS TOURNELLE;80500
HOURTIN;33990
JUGAZAN;33420
LACANAU;33680
LAMARQUE;33460
LANDERROUET SUR SEGUR;33540
LANGOIRAN;33550
LARTIGUE;33840
LATRESNE;33360
LEOGNAN;33850
LESTIAC SUR GARONNE;33550
LES LEVES ET THOUMEYRAGUES;33220
LIBOURNE;33500
LORMONT;33310
LOUCHATS;33125
LUGAIGNAC;33420
MACAU;33460
MARGAUX;33460
MARSAS;33620
MARTIGNAS SUR JALLE;33127
MAZERES;33210
MAZION;33390
MIOS;33380
MONTAGNE;33570
MONTUSSAN;33450
NAUJAN ET POSTIAC;33420
NERIGEAN;33750
NEUFFONS;33580
NOAILLAN;33730
PAREMPUYRE;33290
PERISSAC;33240
LE PIAN SUR GARONNE;33490
PINEUILH;33220
POMEROL;33500
PREIGNAC;33210
PUGNAC;33710
PUJOLS SUR CIRON;33210
RAUZAN;33420
RUCH;33350
SABLONS;33910
ST ANDRE ET APPELLES;33220
ST AVIT ST NAZAIRE;33220
ST BRICE;33540
ST CHRISTOPHE DES BARDES;33330
ST CIERS SUR GIRONDE;33820
ST FELIX DE FONCAUDE;33540
STE FLORENCE;33350
STE FOY LA LONGUE;33490
ST GERMAIN DU PUCH;33750
ST GIRONS D AIGUEVIVES;33920
ST LAURENT DES COMBES;33330
ST LAURENT DU BOIS;33540
ST LOUBES;33450
ST MARTIN LACAUSSADE;33390
ST MARTIN DU BOIS;33910
ST MEDARD DE GUIZIERES;33230
ST MICHEL DE LAPUJADE;33190
ST PARDON DE CONQUES;33210
ST PEY DE CASTETS;33350
ST PIERRE DE BAT;33760
ST QUENTIN DE BARON;33750
ST QUENTIN DE CAPLONG;33220
ST ROMAIN LA VIRVEE;33240
ST SAUVEUR;33250
ST SAVIN;33920
ST SELVE;33650
ST SEURIN DE BOURG;33710
ST SEURIN DE CADOURNE;33180
ST SEVE;33190
ST VINCENT DE PERTIGNAS;33420
ST YZAN DE SOUDIAC;33920
SAMONAC;33710
SAUTERNES;33210
SOUSSAC;33790
LE TAILLAN MEDOC;33320
LE TEICH;33470
LE TEMPLE;33680
LA TESTE DE BUCH;33260
TIZAC DE CURTON;33420
TRESSES;33370
